date,SBER,LKOH,SBERP,VTBR,MOEX
2013-04-05,-0.00531889457075268,-0.012328467784257228,-0.017515942298420913,-0.007007141952435533,-0.00918395100488507
2013-04-08,0.010510081231073247,-0.009567966245076408,-0.011895949404699216,0.013124659185073136,-0.0031502703780851224
2013-04-09,0.020694471276752086,0.021387890487047586,0.012031865137154577,0.0343150658864874,-0.0012628921905806422
2013-04-10,-0.019400874400007883,-0.012077317875473798,-0.029795307510325886,-0.02219117156286877,-0.01101239422162617
2013-04-11,-0.0024891733865982056,-0.011547651816259854,-0.02984447731889712,-0.004372729507824102,-0.026541637849877224
2013-04-12,-0.019834528911600483,0.0074720148387010564,0.0021615398573842084,-0.02023677828735282,-0.0021891427306525687
2013-04-15,-0.029514060513163968,-0.025339016667125524,-0.02477538555676805,-0.028292568478863456,-0.0008770007139610801
2013-04-16,0.004597709248629328,0.007079862615449408,-0.0026595760357587196,-0.006372947621480929,-0.04853794767861958
2013-04-17,-0.014068473503529105,-0.0037450263988474844,0.0011829071318712682,-0.03294415571935403,0.0
2013-04-18,0.00810829483069827,0.0008451746316849385,0.01058366486587062,-0.008465901152455286,-0.018592215769611484
2013-04-19,0.009082904224879606,-0.003332014189457251,0.02754518370661445,0.00641321483471318,0.01928274405116458
2013-04-22,-0.011708266719963075,-0.020282717091729057,-0.009289098590804411,0.011576567828997658,0.004362307457327477
2013-04-23,0.014199445089481151,0.02187077523078053,0.005726572557201138,0.03481890704977168,0.006849341845574989
2013-04-24,0.01471598463251311,0.037834356026780515,0.006828878437071876,-0.006121575740829501,0.012885902276158092
2013-04-25,-0.018351030438146013,-0.0017841217935014426,0.005655323993907656,-0.01102547001170771,-0.006761350978043907
2013-04-26,-0.005320548777837454,0.0028021926373519956,-0.008637221837074003,0.00795057191576455,0.010348798771699787
2013-04-29,-0.008087005161719554,-0.015174331252011194,-0.006419880812562083,0.039254554673445616,-0.0015679250608265777
2013-04-30,0.04605975615549077,0.014309037125286025,0.032942167898730876,0.05072206527741581,0.006702437959473284
2013-05-02,0.015389531268592339,0.005535116328074231,0.0004153686456396348,-0.017850372545664173,-0.010970668633365132
2013-05-03,0.02041688509382435,0.01707125857723857,0.007309873250265209,0.004899968970880475,0.002922335450536855
2013-05-06,-0.006237836990557538,0.003925178318612463,0.007938722229995612,0.00426786543555986,0.03420079608578469
2013-05-07,0.027578644968316086,0.010556009823555205,0.01863911335320806,0.026812330458657694,0.02358094258890688
2013-05-08,0.006352237524768356,-0.001473115905974782,0.014612374770645371,0.003940891799876627,0.03128513749703444
2013-05-10,-0.019371758976476743,-0.01689873955424819,-0.005819352489233634,-0.019059540621622958,-0.002055499182095999
2013-05-13,-0.004248751080555011,0.0020469814182224157,0.005555569844601964,-0.055003050215579136,0.002876517290612082
2013-05-14,0.004826730096741245,0.00527285706577339,-0.0031708310355841613,-0.028352414590867236,0.0026636630850032095
2013-05-15,-0.00598862023519886,0.0006943411477687367,-0.0039777299861878225,-0.010953012019197206,0.028045820833382633
2013-05-16,-0.007487758035672246,-0.0074645780790458804,-0.0014624745011760534,-0.023624900859136988,0.00019894558903794297
